,graphid,sketch,anomaly,anom_count
0,354,"[865, 730, 371, 198, 198, 198, 198, 198, 198, 235, 198, 198, 198, 198, 41, 0, 0, 0, 154, 0, 11, 0, 66, 144, 0, 12, 63, 0, 60, 55, 69, 283, 4, 0, 172, 30, 32, 0, 0, 0, 477, 0, 0, 0, 45, 66, 57, 46, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 35, 55, 0, 29, 0, 0, 18, 0, 22, 0, 0, 152, 0, 0, 32, 6, 0, 0, 0, 63, 0, 246, 2, 28, 76, 0, 23, 31, 24, 0, 0, 82, 0, 57, 0, 25, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 53, 0, 22, 0, 13, 0, 56, 15, 0, 0, 21, 59, 1]",0,0
1,179,"[1241, 1069, 424, 198, 198, 198, 198, 198, 198, 242, 198, 198, 198, 198, 38, 558, 522, 205, 95, 0, 27, 0, 107, 0, 0, 101, 74, 0, 91, 92, 73, 9, 8, 0, 74, 0, 20, 54, 0, 0, 0, 0, 0, 0, 55, 38, 0, 43, 34, 0, 0, 0, 0, 0, 198, 198, 0, 0, 0, 0, 0, 0, 0, 47, 0, 24, 44, 60, 19, 0, 0, 22, 0, 15, 78, 0, 0, 68, 0, 50, 10, 0, 3, 0, 71, 0, 0, 1, 37, 62, 0, 34, 21, 18, 0, 0, 12, 0, 59, 207, 22, 198, 198, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 24, 29, 57, 25, 85, 0, 22, 0, 0, 18, 0, 0, 12, 0, 0]",0,16
2,939,"[679, 426, 186, 198, 198, 198, 198, 198, 198, 111, 198, 198, 0, 0, 0, 0, 0, 0, 11, 207, 116, 0, 85, 268, 349, 97, 53, 152, 50, 54, 52, 0, 0, 228, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 35, 0, 173, 33, 60, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 166, 65, 17, 0, 53, 0, 0, 0, 90, 55, 0, 0, 0, 55, 0, 0, 0, 95, 0, 0, 0, 0, 0, 53, 24, 0, 118, 24, 0, 13, 55, 54, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 67, 60, 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 63, 0, 7, 0, 37, 0, 0, 0]",0,0
3,1033,"[825, 646, 302, 198, 198, 198, 198, 198, 198, 222, 198, 198, 0, 0, 0, 0, 0, 0, 0, 235, 84, 0, 109, 166, 0, 112, 79, 176, 91, 91, 72, 0, 0, 0, 0, 30, 52, 0, 0, 0, 0, 0, 0, 0, 44, 0, 101, 41, 36, 401, 0, 0, 198, 198, 0, 0, 198, 198, 0, 0, 0, 0, 0, 35, 0, 32, 34, 0, 37, 0, 0, 36, 62, 31, 0, 291, 0, 0, 284, 0, 0, 0, 0, 0, 0, 253, 0, 18, 36, 0, 0, 35, 0, 22, 59, 58, 0, 213, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 24, 0, 0, 0, 0, 145, 13, 0, 0, 12, 0, 0, 0, 0, 2]",1,1248
4,222,"[830, 661, 325, 198, 198, 198, 198, 198, 198, 236, 198, 198, 198, 198, 230, 0, 0, 0, 116, 0, 111, 0, 120, 0, 455, 9, 67, 0, 98, 104, 69, 201, 138, 309, 0, 25, 84, 0, 0, 120, 0, 0, 0, 0, 34, 52, 0, 30, 50, 0, 0, 0, 0, 0, 198, 198, 0, 0, 0, 0, 0, 0, 0, 27, 0, 36, 32, 0, 36, 0, 0, 106, 0, 28, 0, 0, 136, 0, 0, 29, 62, 0, 67, 66, 0, 0, 0, 34, 19, 0, 0, 15, 22, 9, 0, 0, 96, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 13, 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 0, 17, 0, 5]",0,0
5,133,"[535, 318, 241, 198, 198, 198, 198, 198, 198, 155, 0, 0, 0, 0, 244, 0, 0, 0, 170, 0, 104, 0, 73, 0, 0, 133, 56, 0, 48, 41, 47, 26, 150, 0, 0, 98, 31, 0, 0, 0, 0, 0, 448, 7, 33, 69, 0, 34, 51, 0, 401, 0, 0, 0, 0, 0, 0, 0, 198, 198, 198, 198, 0, 27, 0, 61, 27, 299, 60, 340, 0, 18, 0, 56, 130, 0, 0, 117, 0, 41, 63, 81, 63, 0, 0, 0, 0, 26, 13, 0, 0, 22, 37, 25, 0, 0, 14, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 55, 48, 0, 48, 0, 25, 0, 0, 0, 0, 0, 5, 0, 0, 11, 0, 45, 20, 0, 24]",0,0
6,405,"[1146, 998, 293, 198, 198, 198, 198, 198, 198, 217, 198, 198, 198, 198, 224, 0, 0, 87, 77, 210, 111, 384, 101, 22, 0, 122, 79, 154, 80, 84, 74, 0, 121, 0, 116, 29, 26, 7, 0, 0, 0, 171, 0, 0, 45, 64, 1, 50, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 21, 36, 0, 19, 0, 0, 35, 87, 14, 92, 0, 0, 0, 0, 41, 62, 0, 60, 0, 0, 0, 0, 35, 28, 0, 0, 33, 42, 25, 57, 55, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 23, 11, 0, 20, 9, 0, 18, 0, 10, 21, 61, 0, 6, 14, 3]",0,0
7,972,"[869, 727, 264, 198, 198, 198, 198, 198, 198, 192, 198, 198, 198, 198, 0, 0, 0, 0, 125, 226, 121, 460, 94, 0, 0, 11, 58, 173, 79, 69, 51, 0, 0, 0, 0, 51, 78, 0, 0, 239, 0, 303, 0, 0, 38, 0, 0, 39, 32, 0, 0, 218, 198, 198, 0, 0, 198, 198, 0, 0, 0, 0, 0, 22, 36, 29, 40, 0, 30, 0, 0, 0, 71, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 38, 28, 0, 116, 24, 0, 26, 53, 53, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 66, 18, 0, 0, 0, 15, 0, 11, 73, 0, 11, 0, 0, 24, 0, 8]",0,58
8,106,"[0, 0, 433, 198, 198, 198, 198, 198, 198, 263, 0, 0, 0, 0, 43, 0, 0, 674, 19, 0, 27, 0, 0, 223, 0, 194, 103, 0, 0, 0, 92, 27, 3, 0, 157, 71, 66, 433, 0, 0, 0, 0, 0, 435, 72, 100, 97, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 198, 198, 198, 383, 85, 178, 0, 45, 0, 20, 0, 0, 80, 0, 14, 0, 0, 1, 0, 0, 64, 2, 0, 2, 0, 125, 0, 0, 0, 0, 96, 0, 0, 42, 48, 0, 0, 9, 0, 92, 0, 33, 0, 0, 198, 198, 198, 198, 45, 0, 0, 175, 11, 0, 43, 129, 54, 117, 15, 0, 30, 0, 69, 28, 14, 0, 1, 54, 5]",0,0
9,198,"[867, 590, 167, 198, 198, 198, 198, 198, 198, 98, 198, 198, 198, 198, 247, 470, 445, 0, 137, 0, 136, 0, 69, 0, 0, 10, 44, 0, 54, 51, 39, 10, 120, 0, 0, 182, 47, 0, 491, 122, 0, 0, 0, 0, 32, 44, 0, 29, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 68, 29, 0, 52, 0, 333, 14, 0, 43, 0, 0, 0, 44, 0, 26, 72, 87, 67, 37, 0, 0, 0, 34, 23, 0, 0, 22, 37, 15, 0, 0, 4, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 68, 76, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 0, 0, 4, 56, 47, 28, 0, 76]",0,0
