,graphid,sketch,anomaly,anom_count
0,315,"[1213, 1058, 420, 282, 198, 198, 198, 198, 198, 198, 44, 198, 198, 14, 29, 198, 198, 2, 0, 94, 72, 94, 0, 65, 449, 10, 91, 0, 44, 86, 78, 213, 2, 0, 410, 40, 57, 5, 66, 8, 30, 0, 421, 36, 27, 132, 28, 54, 53, 0, 0, 0, 0, 0, 0, 0, 37, 34, 0, 0, 0, 9, 0, 39, 0, 0, 0, 0, 0, 0, 296, 23, 3, 0, 0, 0, 0, 0, 32, 31, 0, 21, 0, 0, 28, 0, 15, 14, 2, 0, 0, 0, 1, 0, 91, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 14, 0, 4, 13, 0, 0, 0, 0, 12, 4, 0, 4, 0, 0, 0, 27, 7, 0, 20, 1, 4, 23, 0]",0,5
1,433,"[956, 634, 321, 217, 198, 198, 198, 198, 198, 198, 196, 198, 198, 0, 101, 198, 198, 128, 0, 83, 60, 8, 114, 59, 0, 59, 0, 0, 20, 54, 53, 0, 0, 180, 0, 112, 48, 68, 36, 68, 96, 0, 0, 90, 78, 0, 67, 32, 37, 0, 0, 0, 31, 0, 0, 0, 32, 36, 0, 0, 236, 0, 0, 39, 0, 0, 75, 81, 266, 0, 0, 0, 33, 0, 187, 0, 0, 0, 21, 12, 0, 15, 0, 0, 20, 0, 16, 0, 0, 0, 0, 7, 0, 0, 0, 89, 0, 0, 61, 0, 67, 180, 47, 63, 0, 6, 0, 35, 6, 0, 0, 0, 0, 32, 22, 0, 11, 0, 0, 0, 0, 0, 0, 9, 32, 28, 6, 2]",0,0
2,291,"[969, 809, 414, 309, 198, 198, 198, 65, 198, 53, 267, 198, 198, 190, 114, 198, 198, 149, 0, 84, 90, 13, 0, 91, 0, 76, 157, 0, 147, 69, 67, 0, 120, 0, 0, 188, 57, 60, 58, 58, 53, 0, 0, 47, 39, 0, 34, 28, 59, 0, 0, 0, 0, 0, 0, 0, 36, 76, 0, 0, 0, 107, 0, 53, 294, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 36, 36, 0, 13, 0, 0, 37, 0, 16, 58, 0, 0, 193, 0, 71, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 79, 26, 0, 0, 0, 0, 0, 14, 0, 6, 0, 0, 0, 0, 41, 0, 13, 4, 10, 17, 0]",0,4
3,411,"[1334, 981, 337, 177, 198, 198, 198, 61, 198, 49, 26, 198, 198, 0, 19, 198, 198, 4, 0, 74, 68, 127, 57, 73, 0, 21, 31, 0, 149, 58, 50, 0, 0, 0, 0, 93, 44, 0, 48, 3, 116, 0, 0, 120, 80, 0, 66, 43, 45, 0, 0, 0, 38, 0, 0, 0, 40, 75, 0, 0, 194, 0, 0, 44, 0, 0, 51, 49, 0, 0, 0, 0, 2, 0, 129, 0, 0, 0, 35, 12, 331, 22, 0, 0, 42, 0, 22, 5, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 103, 71, 82, 0, 49, 74, 0, 40, 0, 37, 40, 0, 0, 0, 0, 0, 26, 0, 5, 0, 0, 0, 0, 46, 183, 8, 26, 25, 9, 8]",0,0
4,123,"[958, 802, 384, 241, 198, 198, 198, 198, 198, 198, 232, 0, 0, 33, 127, 0, 0, 79, 0, 73, 61, 235, 0, 65, 0, 22, 0, 0, 31, 67, 63, 44, 3, 101, 0, 122, 57, 60, 52, 59, 33, 0, 0, 47, 20, 0, 24, 61, 31, 198, 198, 198, 0, 0, 198, 96, 38, 43, 0, 0, 0, 7, 452, 104, 0, 14, 0, 0, 2, 0, 0, 441, 26, 0, 0, 0, 0, 128, 42, 35, 0, 15, 10, 0, 28, 0, 28, 0, 392, 196, 0, 0, 1, 1, 5, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 44, 13, 0, 0, 0, 0, 24, 6, 86, 24, 0, 15, 0, 0, 2, 0, 27, 3, 11, 21, 0]",0,25
5,494,"[890, 769, 412, 271, 198, 198, 198, 198, 198, 198, 36, 198, 198, 0, 15, 0, 0, 7, 0, 75, 66, 9, 0, 75, 0, 119, 43, 0, 29, 62, 56, 0, 0, 0, 0, 220, 47, 4, 49, 2, 26, 0, 0, 31, 20, 0, 29, 0, 156, 0, 0, 0, 0, 0, 0, 0, 48, 32, 0, 0, 206, 0, 484, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 146, 0, 0, 0, 33, 29, 0, 15, 0, 0, 26, 0, 0, 5, 0, 332, 0, 0, 0, 0, 0, 0, 0, 0, 91, 60, 0, 0, 0, 0, 0, 6, 0, 104, 10, 0, 0, 0, 0, 23, 7, 0, 5, 0, 0, 0, 0, 5, 0, 12, 2, 4, 17, 0]",0,0
6,290,"[1105, 793, 305, 171, 198, 198, 198, 198, 198, 198, 29, 198, 198, 38, 14, 198, 198, 2, 439, 55, 50, 125, 101, 48, 0, 21, 132, 389, 19, 31, 38, 0, 3, 0, 0, 114, 45, 0, 40, 3, 102, 0, 0, 96, 57, 0, 57, 55, 32, 0, 0, 0, 37, 0, 0, 0, 34, 27, 0, 0, 0, 8, 0, 34, 501, 0, 94, 78, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20, 17, 0, 8, 0, 0, 28, 0, 29, 60, 0, 0, 337, 8, 0, 1, 0, 0, 0, 0, 0, 66, 61, 0, 34, 56, 0, 7, 0, 40, 5, 0, 0, 0, 0, 27, 18, 0, 19, 0, 0, 0, 0, 1, 0, 10, 31, 22, 8, 2]",0,3
7,20,"[0, 0, 111, 83, 198, 198, 198, 198, 198, 198, 189, 0, 0, 43, 108, 0, 0, 125, 526, 0, 33, 51, 1, 35, 0, 46, 0, 465, 5, 0, 0, 82, 5, 13, 0, 0, 27, 64, 29, 63, 0, 39, 0, 0, 6, 52, 2, 27, 14, 0, 0, 198, 0, 2146, 198, 0, 19, 15, 0, 2102, 0, 13, 0, 0, 46, 0, 0, 0, 0, 3, 0, 0, 45, 0, 0, 0, 0, 216, 1, 20, 0, 14, 0, 0, 1, 0, 8, 0, 0, 0, 9, 19, 2, 1, 42, 3, 198, 198, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 6, 6, 198, 11, 0, 94, 0, 14, 0, 0, 11, 1, 0, 12, 0]",0,0
8,317,"[810, 475, 211, 126, 198, 198, 198, 198, 198, 198, 207, 198, 198, 32, 90, 198, 198, 142, 0, 47, 41, 109, 342, 41, 434, 8, 0, 0, 73, 31, 24, 113, 2, 0, 378, 123, 30, 65, 20, 65, 56, 0, 431, 58, 60, 0, 53, 29, 34, 0, 0, 0, 0, 0, 0, 0, 24, 22, 0, 0, 0, 18, 0, 20, 0, 0, 199, 193, 0, 0, 290, 11, 25, 0, 0, 0, 0, 0, 13, 10, 0, 11, 0, 0, 13, 0, 32, 0, 0, 0, 0, 94, 2, 0, 50, 0, 0, 0, 0, 0, 25, 0, 22, 33, 0, 26, 0, 50, 28, 0, 0, 0, 0, 19, 15, 0, 5, 0, 0, 0, 0, 18, 0, 9, 15, 21, 2, 0]",0,4
9,422,"[10, 1, 508, 385, 198, 198, 198, 198, 198, 198, 301, 198, 198, 0, 125, 0, 0, 148, 0, 0, 127, 13, 0, 114, 0, 146, 0, 0, 227, 0, 0, 64, 0, 260, 0, 50, 68, 65, 77, 66, 5, 0, 0, 2, 20, 163, 26, 81, 62, 0, 0, 0, 0, 0, 0, 626, 41, 73, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 39, 0, 49, 421, 0, 5, 0, 36, 0, 0, 0, 0, 0, 0, 0, 9, 122, 0, 0, 0, 0, 0, 0, 0, 0, 198, 62, 198, 5, 54, 0, 0, 0, 0, 26, 9, 0, 40, 0, 0, 0, 43, 68, 0, 28, 1, 9, 32, 0]",0,1
